Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,DEL,IndiGo ,08:30,10:25,1h 55m,"6,153",14-02-2022,Economy
BOM,DEL,IndiGo ,07:45,09:50,2h 05m,"5,943",14-02-2022,Economy
BOM,DEL,Vistara ,12:25,14:30,2h 05m,"6,249",14-02-2022,Economy
BOM,DEL,IndiGo ,10:05,12:15,2h 10m,"5,943",14-02-2022,Economy
BOM,DEL,IndiGo ,13:40,15:50,2h 10m,"5,943",14-02-2022,Economy
BOM,DEL,IndiGo ,09:20,11:30,2h 10m,"5,943",14-02-2022,Economy
BOM,DEL,Air India ,08:00,10:15,2h 15m,"5,943",14-02-2022,Economy
BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,943",14-02-2022,Economy
BOM,DEL,Vistara ,11:55,14:05,2h 10m,"6,249",14-02-2022,Economy
BOM,DEL,IndiGo ,11:45,14:00,2h 15m,"5,943",14-02-2022,Economy
BOM,DEL,SpiceJet ,07:20,09:35,2h 15m,"6,540",14-02-2022,Economy
BOM,DEL,SpiceJet ,10:15,12:30,2h 15m,"6,540",14-02-2022,Economy
BOM,DEL,Vistara ,10:25,12:40,2h 15m,"6,249",14-02-2022,Economy
BOM,DEL,Vistara ,14:40,16:55,2h 15m,"6,249",14-02-2022,Economy
BOM,DEL,Vistara ,08:45,11:00,2h 15m,"6,360",14-02-2022,Economy
BOM,DEL,IndiGo ,07:05,09:20,2h 15m,"6,153",14-02-2022,Economy
BOM,DEL,AirAsia India ,07:20,09:30,2h 10m,"6,967",14-02-2022,Economy
BOM,DEL,Vistara ,07:00,09:05,2h 05m,"8,245",14-02-2022,Economy
DEL,BOM,Air India ,18:00,20:00,2h,"5,955",14-02-2022,Economy
DEL,BOM,Go First ,15:30,17:35,2h 05m,"5,900",14-02-2022,Economy
DEL,BOM,Go First ,17:00,19:05,2h 05m,"5,900",14-02-2022,Economy
DEL,BOM,Air India ,20:00,22:10,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,Go First ,22:30,00:40,2h 10m,"5,900",14-02-2022,Economy
DEL,BOM,IndiGo ,17:15,19:25,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,IndiGo ,18:40,20:50,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,Air India ,19:00,21:15,2h 15m,"5,955",14-02-2022,Economy
DEL,BOM,SpiceJet ,18:55,21:05,2h 10m,"6,543",14-02-2022,Economy
DEL,BOM,Vistara ,15:30,17:40,2h 10m,"6,261",14-02-2022,Economy
DEL,BOM,Vistara ,19:50,22:00,2h 10m,"6,261",14-02-2022,Economy
DEL,BOM,Vistara ,20:40,22:50,2h 10m,"6,261",14-02-2022,Economy
DEL,BOM,Go First ,15:00,17:15,2h 15m,"5,900",14-02-2022,Economy
DEL,BOM,Go First ,19:40,21:55,2h 15m,"5,900",14-02-2022,Economy
DEL,BOM,Go First ,21:00,23:15,2h 15m,"5,900",14-02-2022,Economy
DEL,BOM,IndiGo ,21:15,23:30,2h 15m,"5,955",14-02-2022,Economy
DEL,BOM,Vistara ,19:00,21:15,2h 15m,"6,261",14-02-2022,Economy
DEL,BOM,Go First ,18:05,20:25,2h 20m,"5,900",14-02-2022,Economy
DEL,BOM,SpiceJet ,19:45,22:05,2h 20m,"6,543",14-02-2022,Economy
DEL,BOM,Vistara ,17:45,20:05,2h 20m,"6,261",14-02-2022,Economy
DEL,BOM,Go First ,13:30,15:35,2h 05m,"5,900",14-02-2022,Economy
DEL,BOM,Go First ,07:00,09:10,2h 10m,"5,900",14-02-2022,Economy
DEL,BOM,Go First ,08:00,10:10,2h 10m,"5,900",14-02-2022,Economy
DEL,BOM,IndiGo ,12:00,14:10,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,IndiGo ,06:30,08:40,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,IndiGo ,07:15,09:25,2h 10m,"5,955",14-02-2022,Economy
DEL,BOM,Go First ,14:20,16:35,2h 15m,"5,900",14-02-2022,Economy
